full_name,element_type,total_points,minutes_points,bonus,goals_scored_points,assists_points,penalty_misses_points,own_goals_points,goals_conceded_points,saves_points,penalty_saves_points,clean_sheet_points,yellow_cards_points,red_cards_points
Reece James,DEF,11,14,0,0,6,0,0,-3,0,0,0,0,-6
Romelu Lukaku Bolingoli,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0
Noni Madueke,MID,76,33,7,25,9,0,0,0,0,0,4,-2,0
Mykhailo Mudryk,MID,94,47,5,25,15,0,0,0,0,0,7,-5,0
Nicolas Jackson,FWD,142,66,12,56,18,0,0,0,0,0,0,-10,0
Christopher Nkunku,FWD,29,13,4,12,0,0,0,0,0,0,0,0,0
Christian Pulisic,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Malang Sarr,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Słonina,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
Raheem Sterling,MID,123,53,8,40,24,0,0,0,0,0,5,-7,0
Thiago Emiliano da Silva,DEF,98,59,12,18,3,0,0,-18,0,0,28,-4,0
Hakim Ziyech,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Palmer,MID,244,63,32,110,39,0,0,0,0,0,7,-7,0
Ângelo Gabriel Borges Damaceno,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian Maatsen,MID,11,12,0,0,0,0,0,0,0,0,0,-1,0
Axel Disasi,DEF,71,60,6,12,0,0,-2,-19,0,0,20,-6,0
Lesley Ugochukwu,MID,13,14,0,0,0,0,0,0,0,0,1,-2,0
Mason Burstow,FWD,2,2,0,0,0,0,0,0,0,0,0,0,0
Lucas Bergström,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
Roméo Lavia,MID,1,1,0,0,0,0,0,0,0,0,0,0,0
Bashir Humphreys,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Deivid Washington de Souza Eugênio,FWD,2,2,0,0,0,0,0,0,0,0,0,0,0
Eddie Beach,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Manuel Jadon da Silva Moreira,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Đorđe Petrović,GK,71,45,5,0,0,0,0,-15,18,0,20,-2,0
Alfie Gilchrist,DEF,20,13,0,6,0,0,0,-2,0,0,4,-1,0
Ronnie Stutter,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Matos,MID,1,1,0,0,0,0,0,0,0,0,0,0,0
Josh Brooking,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Leo Castledine,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Cesare Casadei,MID,11,11,0,0,0,0,0,0,0,0,0,0,0
Ishé Samuels-Smith,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Ollie Harrison,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Jimi Tauriainen,MID,1,1,0,0,0,0,0,0,0,0,0,0,0
Josh Acheampong,DEF,1,1,0,0,0,0,0,0,0,0,0,0,0
Teddy Sharman-Lowe,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrique George,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiano Dyer,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Ted Curd,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
Zak Sturge,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Rob Holding,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Naouirou Ahamada,MID,16,21,0,0,0,0,0,0,0,0,0,-2,-3
Joachim Andersen,DEF,121,76,12,12,9,0,0,-21,0,0,40,-7,0
Jordan Ayew,MID,109,64,3,20,21,0,0,0,0,0,11,-7,-3
Nathaniel Clyne,DEF,52,34,0,0,3,0,0,-5,0,0,20,0,0
Cheick Doucouré,MID,21,20,0,0,0,0,0,0,0,0,3,-2,0
Malcolm Ebiowei,MID,0,0,0,0,0,0,0,0,0,0,0,0,0
Odsonne Edouard,FWD,79,46,9,28,0,0,0,0,0,0,0,-4,0
Eberechi Eze,MID,136,50,11,55,15,0,0,0,0,0,8,-3,0
Vicente Guaita,GK,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Guéhi,DEF,66,47,6,0,3,0,0,-12,0,0,24,-2,0
Will Hughes,MID,61,51,2,0,6,0,0,0,0,0,8,-6,0
Sam Johnstone,GK,68,40,7,0,0,0,0,-9,7,0,24,-1,0
Jefferson Lerma Solís,MID,64,55,4,5,3,0,0,0,0,0,5,-8,0
Jean-Philippe Mateta,FWD,165,61,22,64,21,0,0,0,0,0,0,-3,0
Remi Matthews,GK,1,1,0,0,0,0,0,0,0,0,0,0,0
Tyrick Mitchell,DEF,119,73,10,12,9,0,0,-19,0,0,40,-6,0
Jake O'Brien,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Olise,MID,125,33,21,50,18,0,0,0,0,0,3,0,0
